City 1,City 2,Miles
Rochester,Byron,10.71
Rochester,Pine Island,18.18
Rochester,Eyota,12.58
Rochester,Wilson,42.16
Rochester,LaCrosse,72.14
Rochester,Elgin,18.2
Rochester,Stewartville,11.87
Rochester,Chatfield,20.85
Rochester,Lake City,34.43
Rochester,Hayfield,27.29
Byron,Kasson,5.65
Byron,Pine Island,13.57
Byron,Stewartville,20.75
Byron,Hayfield,20.38
Eyota,St. Charles,8.58
Eyota,Elgin,10.59
Eyota,Wilson,31.34
Elgin,Plainview,5.27
Plainview,Kellogg,13.72
Kellogg,Wabasha,6.06
St. Charles,Lewiston,10.43
St. Charles,Utica,5.86
Utica,Lewiston,4.85
Lewiston,Wilson,15.25
Wilson,Rushford,12.94
Winona,Lewiston,15.05
Winona,Kellogg,30.03
Winona,LaCrosse,29.42
Winona,Wilson,9.39
LaCrosse,Rushford,32.76
Rushford,Lewiston,20.99
Rushford,Chatfield,25.05
Chatfield,Stewartville,16.11
Stewartville,Spring Valley,15.21
Spring Valley,Chatfield,21.88
Spring Valley,Preston,16.8
Chatfield,Preston,15.15
Preston,Rushford,25.6
Stewartville,Hayfield,20.51
Hayfield,Dodge Center,10.15
Dodge Center,Kasson,5.89
Pine Island,Zumbrota,6.53
Zumbrota,Wanamingo,7.04
Kenyon,Wanamingo,11
Dodge Center,West Concord,9.64
Owatonna,Dodge Center,24.72
Owatonna,Faribault,16.38
Kenyon,Faribault,14.74
Kenyon,West Concord,9.55
Red Wing,Lake City,16.8
Lake City,Wabasha,14.49
Zumbrota,Red Wing,22.91
Cannon Falls,Red Wing,21.93
Zumbrota,Cannon Falls,22.43
Northfield,Cannon Falls,15.53
Faribault,Northfield,13.54
Kenyon,Northfield,20.54
Albert Lee,Austin,22.03
Owatonna,Albert Lee,34.22
Stewartville,Austin,30.61
Spring Valley,Austin,31.09
Blooming Prairie,Austin,15.66
Blooming Prairie,Albert Lee,29.39
Blooming Prairie,Owatonna,18.66
Hayfield,Blooming Prairie,11.9
LaCrosse,Tomah,43.33
Tomah,Necedah,26.71
Tomah,New Lisbon,18.78
New Lisbon,Necedah,11.69
New Lisbon,Mauston,7.7
Mauston,Necedah,15.66
Mauston,Wisconsin Dells,20.32
Necedah,Adams,19.76
Adams,Wisconsin Dells,25.1
Necedah,Coloma,30.06
Coloma,Wisconsin Dells,42.32
Coloma,Wautoma,13.82
Wautoma,Redgranite,10.22
Redgranite,Omro,18.48
Omro,Oshkosh,10.91
Oshkosh,Neenah,13.34
Oshkosh,Fond du Lac,19.75
Oshkosh,Winneconne,11.86
Oshkosh,Ripon,20.3
Omro,Winneconne,6.44
Neenah,Winneconne,15.82
Ripon,Redgranite,24.79
Princeton,Ripon,16.71
Princeton,Wautoma,19.38
Fond du Lac,Waupun,19.57
Ripon,Waupun,18.83
Waupun,Princeton,33.47
Portage,Princeton,31.87
Portage,Waupun,39.67
Portage,Wisconsin Dells,17.49
Portage,Coloma,37.36
Princeton,Mauston,49.7
Madison,Portage,37.27
Madison,Baraboo,41.86
Madison,Beaver Dam,42.01
Beaver Dam,Waupun,14.25
Baraboo,Wisconsin Dells,13.12
Baraboo,Beaver Dam,57.23
